lat,lng,prediction
569887.8169,2739050.027,vegetation
584920.2923,2711583.562,wetland
564585.195,2711318.357,vegetation
592147.3976,2712411.998,wetland
621225.3471,2728367.551,vegetation
595525.0596,2741864.629,built-up
561247.0687,2721399.385,vegetation
588487.729,2713640.652,wetland
585797.7703,2720276.672,wetland
569980.2184,2692013.138,built-up
594427.5743,2745614.164,built-up
612736.0303,2689941.979,vegetation
605693.0396,2729727.886,built-up
573977.9421,2735940.587,vegetation
563670.9171,2723366.874,vegetation
603484.2013,2728615.419,built-up
563217.1001,2728765.097,vegetation
582880.0281,2717519.643,wetland
582888.2056,2728164.159,wetland
583747.398,2728012.774,wetland
561086.2718,2692597.899,vegetation
586008.1076,2720982.385,wetland
580652.5961,2718993.668,wetland
569050.367,2691538.977,built-up
561169.7072,2706372.425,vegetation
582876.5262,2730120.807,wetland
591752.6574,2707087.13,wetland
617583.4699,2702113.948,vegetation
584677.0129,2716278.146,wetland
605238.5065,2695049.917,vegetation
564320.6555,2737535.949,vegetation
582882.1333,2729181.615,wetland
578111.1911,2712717.873,wetland
596093.9528,2742259.939,built-up
594887.3681,2741077.51,built-up
603402.4028,2739573.125,vegetation
612838.7527,2695030.484,vegetation
614441.4745,2691912.512,vegetation
607989.6141,2719491.68,built-up
618655.0786,2727797.419,vegetation
618381.6932,2692414.676,vegetation
614421.7781,2694338.801,vegetation
561805.5675,2740576.865,vegetation
565764.5045,2719385.092,vegetation
597005.2003,2744771.048,built-up
590951.5124,2709116.885,wetland
585972.3188,2726774.059,wetland
613143.1294,2692841.302,vegetation
592375.127,2710456.775,wetland
583166.3297,2717521.346,wetland
587662.3145,2719662.124,wetland
591686.6588,2706225.746,wetland
617576.8461,2728414.466,vegetation
609702.4383,2692657.566,vegetation
582600.2116,2716422.238,wetland
584753.4752,2727236.186,wetland
593200.5603,2715549.754,wetland
600202.1276,2697517.805,vegetation
579806.3222,2716797.32,wetland
584659.4388,2719173.955,wetland
584011.0898,2719874.446,wetland
561530.8963,2738071.123,vegetation
584412.0003,2724572.971,wetland
581682.9335,2714147.092,wetland
614186.3691,2696841.618,vegetation
574342.4804,2734611.987,wetland
618641.7061,2729362.846,vegetation
619877.6209,2693601.425,vegetation
597165.7041,2742267.438,built-up
575700.293,2734697.608,wetland
569630.9689,2690133.102,built-up
604192.3717,2729559.995,built-up
590706.5442,2702697.311,wetland
616926.5267,2729191.743,vegetation
597012.3454,2723324.522,wetland
561770.1219,2716392.785,vegetation
587267.6898,2725529.822,wetland
582871.8522,2730903.468,wetland
579902.5185,2712493.197,wetland
609139.7869,2700480.35,vegetation
619666.2359,2743226.866,vegetation
596382.4992,2721285.103,wetland
608758.1692,2694215.672,vegetation
621529.4114,2718115.871,vegetation
561637.6717,2713966.021,vegetation
602747.5787,2741133.725,vegetation
592976.4159,2716957.113,wetland
594358.2838,2745300.599,built-up
571360.8951,2716595.052,wetland
612569.4761,2692836.71,vegetation
570778.7377,2718470.459,vegetation
562006.5854,2727585.662,vegetation
617993.034,2704543.892,vegetation
593601.6931,2740990.468,built-up
594541.3305,2739431.421,built-up
620946.842,2743864.259,vegetation
580375.1345,2692459.878,built-up
622616.0045,2692059.488,vegetation
622012.2058,2712014.5,vegetation
585846.8486,2712293.628,wetland
599686.3968,2709567.702,built-up
594177.6098,2740368.204,built-up
563500.6549,2729314.248,vegetation
591865.6127,2711705.723,wetland
581503.6273,2720329.165,wetland
621545.7712,2716237.37,vegetation
606301.5071,2696701.586,vegetation
621747.5534,2709507.353,vegetation
570538.1793,2695146.444,built-up
572680.628,2737968.675,vegetation
563307.5664,2692920.747,vegetation
585186.6811,2714872.425,wetland
583635.5947,2710871.417,wetland
594511.338,2743814.467,built-up
586230.5298,2719731.463,wetland
622065.8514,2697612.227,vegetation
581870.6234,2718765.963,wetland
560611.8851,2702848.18,vegetation
608488.2387,2692022.003,vegetation
591748.0449,2707791.516,wetland
595017.5559,2722058.432,wetland
581752.1639,2726748.596,wetland
593371.8165,2722047.301,wetland
603674.1713,2741453.744,vegetation
582942.2949,2719085.367,wetland
582618.8694,2725344.889,wetland
616144.3742,2728637.244,vegetation
586722.7144,2721143.352,wetland
581324.06,2714301.532,wetland
581405.0633,2724946.391,wetland
562481.5039,2733301.164,vegetation
600263.2712,2709023.928,built-up
593027.6341,2720009.976,wetland
605672.535,2741781.985,vegetation
564252.8192,2736752.971,vegetation
561729.2936,2709427.141,vegetation
602523.3314,2742462.721,vegetation
565039.0061,2721494.839,vegetation
584820.2228,2728019.283,wetland
582838.6019,2724485.245,wetland
618244.6213,2742353.555,vegetation
582351.7154,2722134.312,wetland
581009.5243,2719152.272,wetland
595513.1477,2743586.545,built-up
562412.2286,2716865.226,vegetation
562609.9897,2704656.996,vegetation
582362.3572,2720334.213,wetland
562028.5712,2722655.076,vegetation
586211.1536,2722862.089,wetland
587395.4294,2705102.593,wetland
562990.1219,2731503.356,vegetation
616240.0549,2699911.098,vegetation
570199.6147,2691153.336,built-up
609765.6123,2693753.856,vegetation
591844.5246,2714914.616,wetland
604638.7669,2698567.618,vegetation
579581.9834,2693238.025,built-up
580321.1572,2726818.52,wetland
561239.4837,2739322.086,vegetation
585947.6492,2719181.837,wetland
587616.7944,2715513.603,wetland
615741.3001,2725502.833,vegetation
583536.1273,2727463.621,wetland
608481.6147,2692882.932,vegetation
583497.4809,2721984.598,wetland
613658.6287,2700046.533,vegetation
592736.3381,2742158.712,built-up
598824.7612,2709874.674,built-up
570981.3161,2692565.983,built-up
567058.4931,2733009.486,vegetation
582964.1622,2715406.919,wetland
561749.4881,2737132.906,vegetation
586855.6044,2711282.375,wetland
622511.5775,2720394.503,vegetation
622584.0001,2695738.128,vegetation
585622.3894,2725519.595,wetland
586855.6044,2711282.375,wetland
592793.5821,2744272.444,built-up
612298.8512,2690799.483,vegetation
589553.1432,2714978.006,wetland
560942.5967,2741825.291,vegetation
571279.9845,2690219.597,built-up
583556.0368,2712201.484,wetland
563758.9887,2735341.897,vegetation
590168.1115,2719521.569,wetland
593371.4487,2743337.075,built-up
582354.9549,2721586.455,wetland
583186.9368,2726052.692,wetland
616035.8689,2689890.448,vegetation
587120.0476,2703300.734,wetland
609715.832,2690935.704,vegetation
604164.3244,2742788.1,vegetation
620898.9294,2691575.018,vegetation
599398.8101,2709722.198,built-up
620354.1393,2729847.25,vegetation
561789.1974,2695809.7,vegetation
583101.7032,2704293.83,wetland
583368.8912,2719557.519,wetland
590708.2292,2713498.35,wetland
593733.9824,2742556.809,built-up
581891.7463,2715165.787,wetland
581686.5935,2713520.977,wetland
582385.7041,2728474.243,wetland
571475.6837,2694055.483,built-up
587861.5571,2710740.781,wetland
593716.4419,2745139.678,built-up
562962.213,2721876.62,vegetation
571846.5162,2691631.206,built-up
579031.4427,2727202.466,wetland
618830.3892,2740714.736,vegetation
584589.7708,2718860.46,wetland
588846.06,2702294.077,wetland
563169.2734,2739252.502,vegetation
620439.913,2728204.164,vegetation
560726.5339,2742215.671,vegetation
562987.2784,2732129.468,vegetation
584847.2619,2711817.921,wetland
596658.4299,2743281.426,built-up
621556.4524,2706766.035,vegetation
585526.884,2717770.421,wetland
615507.1659,2727849.168,vegetation
603116.5432,2720315.781,built-up
594525.1752,2720802.755,wetland
580241.0781,2690815.556,built-up
596083.0577,2743825.32,built-up
562882.885,2723598.086,vegetation
583955.8123,2729031.528,wetland
585500.9558,2721996.754,wetland
562522.0065,2692212.884,vegetation
605259.9316,2720801.441,built-up
585401.4314,2703133.638,wetland
563097.0155,2707867.97,vegetation
611573.0158,2691889.528,vegetation
580893.8308,2726743.574,wetland
583976.6209,2725587.828,wetland
600339.379,2708398.309,built-up
592161.3187,2710298.828,wetland
584775.657,2711817.487,wetland
587483.6566,2702442.057,wetland
579388.8642,2714681.735,wetland
592746.8464,2740593.344,built-up
621988.9784,2714675.7,vegetation
619647.219,2695399.771,vegetation
583952.9885,2705707.698,wetland
585852.1333,2711432.716,wetland
587990.4654,2724360.336,wetland
580744.9928,2715393.911,wetland
616192.7586,2705624.705,vegetation
606122.8517,2720260.075,built-up
584858.4115,2721758.019,wetland
569641.8402,2716821.165,vegetation
580730.9586,2717820.111,wetland
589026.0514,2719044.615,wetland
590762.5022,2705123.979,wetland
596216.6624,2745156.891,built-up
600118.7471,2699160.87,vegetation
621100.7089,2726252.967,vegetation
594521.5191,2742327.36,built-up
622037.3129,2717337.535,vegetation
611926.6023,2692518.504,vegetation
583611.4188,2726837.925,wetland
571049.0727,2693348.956,built-up
616083.1143,2692865.203,vegetation
621416.9102,2722811.516,vegetation
584182.4543,2703282.807,wetland
598017.3225,2722861.935,wetland
592515.6951,2743096.497,built-up
611015.3362,2689850.069,vegetation
619841.0414,2739549.285,vegetation
579682.809,2713352.875,wetland
561017.1553,2741121.224,vegetation
593679.0746,2718918.559,wetland
595944.523,2722534.412,wetland
